"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","98","","UnitTests","","UnitTests.UserRepositoryTests","","testUpdateUser_NotFound",""
"passed","","","48","","UnitTests","","UnitTests.MembershipTypeServiceTests","","testCreateMembershipType_Success",""
"passed","","","43","","UnitTests","","UnitTests.MembershipTypeServiceTests","","testDelete_NotFound_Throws",""
"passed","","","34","","UnitTests","","UnitTests.TrainerServiceTests","","testUpdateTrainer_NotFound",""
"passed","","","70","","IntegrationTests","","IntegrationTests.UserRepositoryCreateITCase","","testCreateUser_DuplicatePhone",""
"passed","","","39","","UnitTests","","UnitTests.UserServiceTests","","testCreateUser_PhoneNumberAlreadyExists",""
"passed","","","81","","IntegrationTests","","IntegrationTests.TrainingServiceITCase","","testCreateTraining_InvalidDate_Throws",""
"passed","","","110","","UnitTests","","UnitTests.AttendanceRepositoryTests","","testUpdateAttendance_Success",""
"passed","","","76","","IntegrationTests","","IntegrationTests.TrainerRepositoryDeleteITCase","","testDeleteTrainer_Success",""
"passed","","","89","","UnitTests","","UnitTests.MembershipServiceTests","","testCreateMembership_Success",""
"passed","","","47","","UnitTests","","UnitTests.MembershipTypeServiceTests","","testCreateMembershipType_NameAlreadyExists",""
"passed","","","83","","IntegrationTests","","IntegrationTests.TrainingRepositoryFindITCase","","testFindTrainingByTrainerId_Success",""
"passed","","","70","","IntegrationTests","","IntegrationTests.MembershipTypeRepositoryFindITCase","","testFindMembershipTypeById_Success",""
"passed","","","43","","UnitTests","","UnitTests.AttendanceServiceTests","","testCreate_Success",""
"passed","","","73","","IntegrationTests","","IntegrationTests.TrainingServiceITCase","","testDeleteTraining_NotFound",""
"passed","","","70","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryUpdateITCase","","testUpdateTrainingRoom_Success",""
"passed","","","101","","IntegrationTests","","IntegrationTests.AttendanceServiceITCase","","testUpdate_Success",""
"passed","","","42","","UnitTests","","UnitTests.AttendanceServiceTests","","testDelete_Success",""
"passed","","","72","","IntegrationTests","","IntegrationTests.MembershipRepositoryFindITCase","","testFindMembershipById_NotFound",""
"passed","","","33","","UnitTests","","UnitTests.TrainerServiceTests","","testUpdateTrainer_Success",""
"passed","","","65","","IntegrationTests","","IntegrationTests.UserRepositoryFindITCase","","testFindUserAll_NotFound",""
"passed","","","38","","UnitTests","","UnitTests.TrainingRoomServiceTests","","testCreateRoom_Success",""
"passed","","","75","","IntegrationTests","","IntegrationTests.TrainerRepositoryFindITCase","","testFindTrainerById_Success",""
"passed","","","72","","IntegrationTests","","IntegrationTests.MembershipTypeServiceITCase","","testUpdateMembershipType_Success",""
"passed","","","75","","UnitTests","","UnitTests.TrainingRoomRepositoryTests","","testUpdateTrainingRoom_NotFound",""
"passed","","","45","","UnitTests","","UnitTests.TrainingRoomServiceTests","","testUpdateRoom_Success",""
"passed","","","87","","UnitTests","","UnitTests.TrainingRepositoryTests","","testDeleteTraining_NotFound",""
"passed","","","69","","IntegrationTests","","IntegrationTests.MembershipTypeRepositoryFindITCase","","testFindMembershipTypeByName_Success",""
"passed","","","105","","UnitTests","","UnitTests.UserRepositoryTests","","testDeleteUser_NotFound",""
"passed","","","28","","UnitTests","","UnitTests.MembershipTypeServiceTests","","testDelete_Success",""
"passed","","","26","","UnitTests","","UnitTests.TrainingRoomServiceTests","","testCreateRoom_NameAlreadyExists",""
"passed","","","80","","IntegrationTests","","IntegrationTests.MembershipRepositoryCreateITCase","","testCreateMembership_DuplicateId",""
"passed","","","82","","IntegrationTests","","IntegrationTests.AttendanceServiceITCase","","testDelete_Fails_WhenNotFound",""
"passed","","","97","","IntegrationTests","","IntegrationTests.AttendanceRepositoryCreateITCase","","testCreateMembership_DuplicateId",""
"passed","","","74","","IntegrationTests","","IntegrationTests.UserServiceITCase","","testDeleteUser_Success",""
"passed","","","38","","UnitTests","","UnitTests.TrainingServiceTests","","testUpdateTraining_NotFound",""
"passed","","","67","","IntegrationTests","","IntegrationTests.TrainerRepositoryFindITCase","","testFindTrainerById_NotFound",""
"passed","","","411","","IntegrationTests","","IntegrationTests.AuthServiceITCase","","testRegister_Success",""
"passed","","","68","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryCreateITCase","","testCreateTrainingRoom_Success",""
"passed","","","1604","","E2ETests","","E2ETests.DemoE2ETests","","test",""
"passed","","","60","","UnitTests","","UnitTests.TrainingServiceTests","","testDeleteTraining_Success",""
"passed","","","67","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryCreateITCase","","testCreateTrainingRoom_DublicateId",""
"passed","","","65","","IntegrationTests","","IntegrationTests.MembershipTypeRepositoryFindITCase","","testFindMembershipTypeByName_NotFound",""
"passed","","","90","","UnitTests","","UnitTests.TrainerRepositoryTests","","testUpdateTrainer_NotFound",""
"passed","","","65","","IntegrationTests","","IntegrationTests.UserServiceITCase","","testUpdateUser_UserNotFound",""
"passed","","","66","","IntegrationTests","","IntegrationTests.UserRepositoryDeleteITCase","","testDeleteUser_NotFound",""
"passed","","","744","","IntegrationTests","","IntegrationTests.AuthServiceITCase","","testLogin_SuccessByPhoneNumber",""
"passed","","","70","","IntegrationTests","","IntegrationTests.AuthServiceITCase","","testRegister_InvalidEmail",""
"passed","","","64","","IntegrationTests","","IntegrationTests.MembershipTypeServiceITCase","","testDelete_NotFound_Throws",""
"passed","","","27","","UnitTests","","UnitTests.TrainerServiceTests","","testCreateTrainer_Success",""
"passed","","","36","","UnitTests","","UnitTests.UserServiceTests","","testCreateUser_Success",""
"passed","","","82","","IntegrationTests","","IntegrationTests.TrainingRepositoryCreateITCase","","testCreateTraining_DuplicateId",""
"passed","","","110","","UnitTests","","UnitTests.AttendanceRepositoryTests","","testDeleteAttendance_Success",""
"passed","","","22","","UnitTests","","UnitTests.MembershipServiceTests","","testDeleteMembership_Success",""
"passed","","","73","","IntegrationTests","","IntegrationTests.UserRepositoryUpdateITCase","","testUpdateUser_Success",""
"passed","","","22","","UnitTests","","UnitTests.UserServiceTests","","testUpdateUser_Success",""
"passed","","","83","","IntegrationTests","","IntegrationTests.TrainingRepositoryFindITCase","","testFindTrainingById_Success",""
"passed","","","68","","IntegrationTests","","IntegrationTests.TrainingRoomServiceITCase","","testCreateRoom_Success",""
"passed","","","65","","IntegrationTests","","IntegrationTests.MembershipTypeServiceITCase","","testUpdateMembershipType_NotFound",""
"passed","","","72","","IntegrationTests","","IntegrationTests.TrainingRepositoryFindITCase","","testFindTrainingByTrainerId_NotFound",""
"passed","","","42","","UnitTests","","UnitTests.TrainingServiceTests","","testCreateTraining_InvalidDate_Throws",""
"passed","","","88","","UnitTests","","UnitTests.TrainingRoomRepositoryTests","","testDeleteTrainingRoom_Success",""
"passed","","","36","","UnitTests","","UnitTests.UserServiceTests","","testCreateUser_EmailAlreadyExists",""
"passed","","","74","","IntegrationTests","","IntegrationTests.TrainerServiceITCase","","testCreateTrainer_UserAlreadyHasTrainer",""
"passed","","","68","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryFindITCase","","testFindTrainingRoomByName_Success",""
"passed","","","110","","UnitTests","","UnitTests.AttendanceRepositoryTests","","testUpdateAttendance_NotFound",""
"passed","","","86","","IntegrationTests","","IntegrationTests.TrainingServiceITCase","","testDeleteTraining_Success",""
"passed","","","79","","IntegrationTests","","IntegrationTests.TrainerRepositoryUpdateITCase","","testUpdateTrainer_DublicateUserId",""
"passed","","","70","","IntegrationTests","","IntegrationTests.UserServiceITCase","","testCreateUser_EmailAlreadyExists",""
"passed","","","70","","IntegrationTests","","IntegrationTests.UserRepositoryCreateITCase","","testCreateUser_DuplicateEmail",""
"passed","","","81","","IntegrationTests","","IntegrationTests.TrainingRepositoryUpdateITCase","","testUpdateTraining_TrainingNotFound",""
"passed","","","123","","UnitTests","","UnitTests.TrainingRoomRepositoryTests","","testUpdateTrainingRoom_Success",""
"passed","","","68","","IntegrationTests","","IntegrationTests.MembershipTypeServiceITCase","","testCreateMembershipType_Success",""
"passed","","","71","","IntegrationTests","","IntegrationTests.UserRepositoryFindITCase","","testFindUserById_Success",""
"passed","","","36","","UnitTests","","UnitTests.TrainerServiceTests","","testDeleteTrainer_Success",""
"passed","","","72","","IntegrationTests","","IntegrationTests.UserRepositoryDeleteITCase","","testDeleteUser_Success",""
"passed","","","71","","IntegrationTests","","IntegrationTests.AuthServiceITCase","","testRegister_InvalidPhoneNumber",""
