"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","125","testUpdateTrainingRoom_Success","","","passed","","","UnitTests","UnitTests.TrainingRoomRepositoryTests",""
"","82","testFindAttendanceById_NotFound","","","passed","","","IntegrationTests","IntegrationTests.AttendanceRepositoryFindITCase",""
"","21","testUpdate_NotFound","","","passed","","","UnitTests","UnitTests.AttendanceServiceTests",""
"","81","testDeleteMembershipType_NotFound","","","passed","","","UnitTests","UnitTests.MembershipTypeRepositoryTests",""
"","36","testUpdateMembership_Success","","","passed","","","UnitTests","UnitTests.MembershipServiceTests",""
"","70","testFindMembershipTypeById_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryFindITCase",""
"","86","testUpdateMembership_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipServiceITCase",""
"","83","testCreateTraining_DuplicateId","","","passed","","","IntegrationTests","IntegrationTests.TrainingRepositoryCreateITCase",""
"","92","testDeleteAttendance_NotFound","","","passed","","","UnitTests","UnitTests.AttendanceRepositoryTests",""
"","75","testCreateTrainer_DublicateId","","","passed","","","IntegrationTests","IntegrationTests.TrainerRepositoryCreateITCase",""
"","75","testCreateTrainer_UserAlreadyHasTrainer","","","passed","","","IntegrationTests","IntegrationTests.TrainerServiceITCase",""
"","751","testUpdateUser_Success","","","passed","","","IntegrationTests","IntegrationTests.UserServiceITCase",""
"","81","testCreateMembership_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipRepositoryCreateITCase",""
"","122","testLogin_SuccessByPhoneNumber","","","passed","","","UnitTests","UnitTests.AuthServiceTests",""
"","72","testUpdateMembershipType_NameAlreadyExists","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeServiceITCase",""
"","36","testDeleteRoom_Success","","","passed","","","UnitTests","UnitTests.TrainingRoomServiceTests",""
"","65","testDeleteTrainingRoom_NotFound","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomRepositoryDeleteITCase",""
"","44","testDelete_Success","","","passed","","","UnitTests","UnitTests.MembershipTypeServiceTests",""
"","69","testCreateMembershipType_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeServiceITCase",""
"","69","testCreateMembershipType_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryCreateITCase",""
"","101","testDeleteMembershipType_Success","","","passed","","","UnitTests","UnitTests.MembershipTypeRepositoryTests",""
"","70","testCreateMembershipType_NameAlreadyExists","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeServiceITCase",""
"","77","testDeleteTraining_NotFound","","","passed","","","IntegrationTests","IntegrationTests.TrainingRepositoryDeleteITCase",""
"","70","testCreateUser_DuplicatePhone","","","passed","","","IntegrationTests","IntegrationTests.UserRepositoryCreateITCase",""
"","106","testUpdateMembership_Success","","","passed","","","UnitTests","UnitTests.MembershipRepositoryTests",""
"","83","testDeleteMembership_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipRepositoryDeleteITCase",""
"","72","testUpdateMembershipType_DuplicateName","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryUpdateITCase",""
"","31","testUpdateUser_Success","","","passed","","","UnitTests","UnitTests.UserServiceTests",""
"","67","testUpdateRoom_NotFound","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomServiceITCase",""
"","53","testUpdateTraining_InvalidDate","","","passed","","","UnitTests","UnitTests.TrainingServiceTests",""
"","74","testCreateTrainer_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainerRepositoryCreateITCase",""
"","82","testUpdateTrainer_NotFound","","","passed","","","UnitTests","UnitTests.TrainerRepositoryTests",""
"","100","testDeleteTrainer_Success","","","passed","","","UnitTests","UnitTests.TrainerRepositoryTests",""
"","71","testDeleteMembershipType_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryDeleteITCase",""
"","86","testDeleteTrainingRoom_Success","","","passed","","","UnitTests","UnitTests.TrainingRoomRepositoryTests",""
"","101","testDeleteTrainer_NotFound","","","passed","","","UnitTests","UnitTests.TrainerRepositoryTests",""
"","66","testFindMembershipTypeById_NotFound","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryFindITCase",""
"","73","testDeleteRoom_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomServiceITCase",""
"","28","testUpdateUser_EmailAlreadyExists","","","passed","","","UnitTests","UnitTests.UserServiceTests",""
"","84","testDeleteMembership_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipServiceITCase",""
"","45","testUpdateRoom_NotFound","","","passed","","","UnitTests","UnitTests.TrainingRoomServiceTests",""
"","72","testDeleteTrainingRoom_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomRepositoryDeleteITCase",""
"","27","testDeleteUser_Success","","","passed","","","UnitTests","UnitTests.UserServiceTests",""
"","82","testUpdateAttendance_NotFound","","","passed","","","IntegrationTests","IntegrationTests.AttendanceRepositoryUpdateITCase",""
"","76","testFindTrainerByUserId_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainerRepositoryFindITCase",""
"","66","testUpdateMembershipType_NotFound","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryUpdateITCase",""
"","70","testFindTrainingRoomByName_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomRepositoryFindITCase",""
"","65","testUpdateTrainingRoom_NotFound","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomRepositoryUpdateITCase",""
"","87","testUpdateTraining_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingServiceITCase",""
"","68","testCreateTrainingRoom_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomRepositoryCreateITCase",""
"","83","testCreateTraining_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingServiceITCase",""
"","72","testFindMembershipById_NotFound","","","passed","","","IntegrationTests","IntegrationTests.MembershipRepositoryFindITCase",""
"","73","testDeleteUser_Success","","","passed","","","IntegrationTests","IntegrationTests.UserRepositoryDeleteITCase",""
"","44","testCreateTraining_Success","","","passed","","","UnitTests","UnitTests.TrainingServiceTests",""
"","101","testUpdateAttendance_Success","","","passed","","","IntegrationTests","IntegrationTests.AttendanceRepositoryUpdateITCase",""
"","66","testFindUserAll_NotFound","","","passed","","","IntegrationTests","IntegrationTests.UserRepositoryFindITCase",""
"","74","testUpdateMembershipType_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryUpdateITCase",""
"","35","testDeleteMembership_Success","","","passed","","","UnitTests","UnitTests.MembershipServiceTests",""
"","93","testUpdateAttendance_NotFound","","","passed","","","UnitTests","UnitTests.AttendanceRepositoryTests",""
"","84","testCreateTraining_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingRepositoryCreateITCase",""
"","71","testCreateUser_Success","","","passed","","","IntegrationTests","IntegrationTests.UserRepositoryCreateITCase",""
"","73","testFindTrainingById_NotFound","","","passed","","","IntegrationTests","IntegrationTests.TrainingRepositoryFindITCase",""
"","54","testDeleteTraining_Success","","","passed","","","UnitTests","UnitTests.TrainingServiceTests",""
