"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84","testDelete_Fails_WhenNotFound","","","passed","","","IntegrationTests","IntegrationTests.AttendanceServiceITCase",""
"","38","testDelete_Fails_WhenNotFound","","","passed","","","UnitTests","UnitTests.AttendanceServiceTests",""
"","33","testDelete_Success","","","passed","","","UnitTests","UnitTests.MembershipTypeServiceTests",""
"","83","testUpdateTrainer_DublicateUserId","","","passed","","","IntegrationTests","IntegrationTests.TrainerRepositoryUpdateITCase",""
"","83","testDeleteAttendance_NotFound","","","passed","","","IntegrationTests","IntegrationTests.AttendanceRepositoryDeleteITCase",""
"","67","testFindTrainingRoomByName_NotFound","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomRepositoryFindITCase",""
"","32","testCreateUser_Success","","","passed","","","UnitTests","UnitTests.UserServiceTests",""
"","26","testUpdate_NotFound","","","passed","","","UnitTests","UnitTests.AttendanceServiceTests",""
"","46","testCreateTraining_Success","","","passed","","","UnitTests","UnitTests.TrainingServiceTests",""
"","83","testDeleteMembership_NotFound","","","passed","","","UnitTests","UnitTests.MembershipRepositoryTests",""
"","107","testDeleteMembershipType_NotFound","","","passed","","","UnitTests","UnitTests.MembershipTypeRepositoryTests",""
"","106","testUpdateTraining_Success","","","passed","","","UnitTests","UnitTests.TrainingRepositoryTests",""
"","131","testDeleteTrainingRoom_Success","","","passed","","","UnitTests","UnitTests.TrainingRoomRepositoryTests",""
"","87","testDeleteMembership_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipServiceITCase",""
"","76","testUpdateUser_PhoneNumberAlreadyExists","","","passed","","","IntegrationTests","IntegrationTests.UserServiceITCase",""
"","1592","test","","","passed","","","E2ETests","E2ETests.DemoE2ETests",""
"","27","testUpdate_InvalidMembershipTrainingUnique","","","passed","","","UnitTests","UnitTests.AttendanceServiceTests",""
"","26","testLogin_SuccessByPhoneNumber","","","passed","","","UnitTests","UnitTests.AuthServiceTests",""
"","78","testCreateMembership_InvalidMembershipTypeId","","","passed","","","IntegrationTests","IntegrationTests.MembershipServiceITCase",""
"","78","testDeleteTrainer_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainerServiceITCase",""
"","102","testCreateAttendance_Success","","","passed","","","IntegrationTests","IntegrationTests.AttendanceRepositoryCreateITCase",""
"","121","testUpdateMembership_Success","","","passed","","","UnitTests","UnitTests.MembershipRepositoryTests",""
"","72","testRegister_InvalidEmail","","","passed","","","IntegrationTests","IntegrationTests.AuthServiceITCase",""
"","73","testFindUserById_Success","","","passed","","","IntegrationTests","IntegrationTests.UserRepositoryFindITCase",""
"","73","testUpdateRoom_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomServiceITCase",""
"","72","testCreateUser_EmailAlreadyExists","","","passed","","","IntegrationTests","IntegrationTests.UserServiceITCase",""
"","70","testCreateMembershipType_DuplicateName","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryCreateITCase",""
