"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","testCreateUser_PhoneNumberAlreadyExists","","","passed","","","UnitTests","UnitTests.UserServiceTests",""
"","74","testCreateMembershipType_DuplicateName","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryCreateITCase",""
"","75","testCreateRoom_NameAlreadyExists","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomServiceITCase",""
"","78","testUpdateMembershipType_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryUpdateITCase",""
"","131","testDeleteAttendance_Success","","","passed","","","UnitTests","UnitTests.AttendanceRepositoryTests",""
"","103","testUpdateUser_Success","","","passed","","","UnitTests","UnitTests.UserRepositoryTests",""
"","46","testCreateTrainer_Success","","","passed","","","UnitTests","UnitTests.TrainerServiceTests",""
"","32","testCreateMembership_Success","","","passed","","","UnitTests","UnitTests.MembershipServiceTests",""
"","78","testFindUserByPhone_Success","","","passed","","","IntegrationTests","IntegrationTests.UserRepositoryFindITCase",""
"","107","testDeleteAttendance_Success","","","passed","","","IntegrationTests","IntegrationTests.AttendanceRepositoryDeleteITCase",""
"","75","testCreateUser_DuplicateEmail","","","passed","","","IntegrationTests","IntegrationTests.UserRepositoryCreateITCase",""
"","77","testDelete_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeServiceITCase",""
"","77","testUpdateUser_DuplicatePhone","","","passed","","","IntegrationTests","IntegrationTests.UserRepositoryUpdateITCase",""
"","78","testCreateTrainer_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainerRepositoryCreateITCase",""
"","83","testDelete_Success","","","passed","","","UnitTests","UnitTests.MembershipTypeServiceTests",""
"","73","testUpdateMembershipType_NotFound","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryUpdateITCase",""
"","110","testCreateMembership_DuplicateId","","","passed","","","IntegrationTests","IntegrationTests.AttendanceRepositoryCreateITCase",""
"","119","testDeleteTrainingRoom_NotFound","","","passed","","","UnitTests","UnitTests.TrainingRoomRepositoryTests",""
"","73","testUpdateTrainer_NotFound","","","passed","","","IntegrationTests","IntegrationTests.TrainerServiceITCase",""
"","76","testCreateUser_EmailAlreadyExists","","","passed","","","IntegrationTests","IntegrationTests.UserServiceITCase",""
"","78","testDeleteMembershipType_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryDeleteITCase",""
"","113","testDeleteTraining_Success","","","passed","","","UnitTests","UnitTests.TrainingRepositoryTests",""
"","36","testDeleteRoom_Success","","","passed","","","UnitTests","UnitTests.TrainingRoomServiceTests",""
"","84","testUpdateTrainer_DublicateUserId","","","passed","","","IntegrationTests","IntegrationTests.TrainerRepositoryUpdateITCase",""
"","86","testFindAttendanceById_NotFound","","","passed","","","IntegrationTests","IntegrationTests.AttendanceRepositoryFindITCase",""
"","130","testCreate_Success","","","passed","","","UnitTests","UnitTests.AttendanceServiceTests",""
"","76","testFindUserAll_Success","","","passed","","","IntegrationTests","IntegrationTests.UserRepositoryFindITCase",""
"","87","testFindMembershipById_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipRepositoryFindITCase",""
"","77","testCreateUser_PhoneNumberAlreadyExists","","","passed","","","IntegrationTests","IntegrationTests.UserServiceITCase",""
"","29","testUpdateMembershipType_NotFound","","","passed","","","UnitTests","UnitTests.MembershipTypeServiceTests",""
"","88","testDeleteAttendance_NotFound","","","passed","","","IntegrationTests","IntegrationTests.AttendanceRepositoryDeleteITCase",""
"","76","testUpdateRoom_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomServiceITCase",""
"","25","testUpdateMembershipType_NameAlreadyExists","","","passed","","","UnitTests","UnitTests.MembershipTypeServiceTests",""
"","89","testCreateTraining_DuplicateId","","","passed","","","IntegrationTests","IntegrationTests.TrainingRepositoryCreateITCase",""
"","33","testUpdateMembershipType_Success","","","passed","","","UnitTests","UnitTests.MembershipTypeServiceTests",""
"","31","testDeleteUser_UserNotFound","","","passed","","","UnitTests","UnitTests.UserServiceTests",""
"","86","testCreateMembership_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipRepositoryCreateITCase",""
"","85","testDeleteTrainer_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainerServiceITCase",""
"","75","testUpdateRoom_NameAlreadyExists","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomServiceITCase",""
"","18","testUpdateUser_UserNotFound","","","passed","","","UnitTests","UnitTests.UserServiceTests",""
"","749","testLogin_SuccessByPhoneNumber","","","passed","","","IntegrationTests","IntegrationTests.AuthServiceITCase",""
"","80","testUpdateUser_DuplicateEmail","","","passed","","","IntegrationTests","IntegrationTests.UserRepositoryUpdateITCase",""
"","29","testDeleteMembership_NotFound","","","passed","","","UnitTests","UnitTests.MembershipServiceTests",""
"","76","testDeleteMembership_NotFound","","","passed","","","IntegrationTests","IntegrationTests.MembershipServiceITCase",""
"","69","testFindMembershipTypeById_NotFound","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryFindITCase",""
"","40","testCreateTraining_InvalidDate_Throws","","","passed","","","UnitTests","UnitTests.TrainingServiceTests",""
"","71","testLogin_UserNotFound","","","passed","","","IntegrationTests","IntegrationTests.AuthServiceITCase",""
"","70","testDeleteUser_UserNotFound","","","passed","","","IntegrationTests","IntegrationTests.UserServiceITCase",""
"","25","testCreateUser_EmailAlreadyExists","","","passed","","","UnitTests","UnitTests.UserServiceTests",""
"","44","testDelete_Fails_WhenNotFound","","","passed","","","UnitTests","UnitTests.AttendanceServiceTests",""
"","749","testLogin_SuccessByEmail","","","passed","","","IntegrationTests","IntegrationTests.AuthServiceITCase",""
"","80","testDeleteMembershipType_NotFound","","","passed","","","UnitTests","UnitTests.MembershipTypeRepositoryTests",""
"","82","testUpdateTrainer_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainerRepositoryUpdateITCase",""
"","87","testUpdate_NotFound","","","passed","","","IntegrationTests","IntegrationTests.AttendanceServiceITCase",""
"","82","testCreateMembership_InvalidMembershipTypeId","","","passed","","","IntegrationTests","IntegrationTests.MembershipServiceITCase",""
"","70","testUpdateUser_UserNotFound","","","passed","","","IntegrationTests","IntegrationTests.UserRepositoryUpdateITCase",""
"","25","testUpdateMembership_NotFound","","","passed","","","UnitTests","UnitTests.MembershipServiceTests",""
"","73","testFindMembershipTypeById_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryFindITCase",""
"","108","testUpdate_Success","","","passed","","","IntegrationTests","IntegrationTests.AttendanceServiceITCase",""
"","77","testUpdateMembership_NotFound","","","passed","","","IntegrationTests","IntegrationTests.MembershipRepositoryUpdateITCase",""
"","755","testLogin_InvalidPassword","","","passed","","","IntegrationTests","IntegrationTests.AuthServiceITCase",""
"","105","testDeleteTraining_NotFound","","","passed","","","UnitTests","UnitTests.TrainingRepositoryTests",""
"","15","testLogin_InvalidPassword","","","passed","","","UnitTests","UnitTests.AuthServiceTests",""
"","91","testDeleteUser_NotFound","","","passed","","","UnitTests","UnitTests.UserRepositoryTests",""
"","90","testFindTrainingById_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingRepositoryFindITCase",""
"","137","testDeleteTrainingRoom_Success","","","passed","","","UnitTests","UnitTests.TrainingRoomRepositoryTests",""
"","73","testCreateMembershipType_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeServiceITCase",""
"","72","testCreateTrainingRoom_DublicateName","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomRepositoryCreateITCase",""
"","87","testUpdateAttendance_NotFound","","","passed","","","IntegrationTests","IntegrationTests.AttendanceRepositoryUpdateITCase",""
"","73","testFindTrainingRoomByName_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomRepositoryFindITCase",""
"","116","testCreateAttendance_Success","","","passed","","","IntegrationTests","IntegrationTests.AttendanceRepositoryCreateITCase",""
"","124","testUpdateTraining_Success","","","passed","","","UnitTests","UnitTests.TrainingRepositoryTests",""
"","109","testDeleteTrainer_Success","","","passed","","","UnitTests","UnitTests.TrainerRepositoryTests",""
"","88","testCreateMembershipType_NameAlreadyExists","","","passed","","","UnitTests","UnitTests.MembershipTypeServiceTests",""
"","41","testCreateTraining_Success","","","passed","","","UnitTests","UnitTests.TrainingServiceTests",""
"","80","testCreateTrainer_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainerServiceITCase",""
"","35","testCreateRoom_NameAlreadyExists","","","passed","","","UnitTests","UnitTests.TrainingRoomServiceTests",""
"","78","testCreateTrainer_DublicateUserId","","","passed","","","IntegrationTests","IntegrationTests.TrainerRepositoryCreateITCase",""
"","111","testUpdateAttendance_Success","","","passed","","","IntegrationTests","IntegrationTests.AttendanceRepositoryUpdateITCase",""
"","103","testUpdateTraining_NotFound","","","passed","","","UnitTests","UnitTests.TrainingRepositoryTests",""
"","76","testFindTrainingRoomById_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomRepositoryFindITCase",""
"","32","testDeleteRoom_NotFound","","","passed","","","UnitTests","UnitTests.TrainingRoomServiceTests",""
"","79","testCreateTrainer_UserAlreadyHasTrainer","","","passed","","","IntegrationTests","IntegrationTests.TrainerServiceITCase",""
"","75","testUpdateMembership_NotFound","","","passed","","","IntegrationTests","IntegrationTests.MembershipServiceITCase",""
"","35","testDelete_NotFound_Throws","","","passed","","","UnitTests","UnitTests.MembershipTypeServiceTests",""
"","107","testDeleteMembership_NotFound","","","passed","","","UnitTests","UnitTests.MembershipRepositoryTests",""
"","85","testCreateTraining_InvalidDate_Throws","","","passed","","","IntegrationTests","IntegrationTests.TrainingServiceITCase",""
"","20","testUpdate_NotFound","","","passed","","","UnitTests","UnitTests.AttendanceServiceTests",""
"","90","testFindTrainingByRoomId_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingRepositoryFindITCase",""
"","79","testUpdateMembershipType_DuplicateName","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryUpdateITCase",""
"","84","testDeleteTrainer_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainerRepositoryDeleteITCase",""
"","78","testDeleteTraining_NotFound","","","passed","","","IntegrationTests","IntegrationTests.TrainingRepositoryDeleteITCase",""
"","89","testDelete_Fails_WhenNotFound","","","passed","","","IntegrationTests","IntegrationTests.AttendanceServiceITCase",""
"","35","testUpdateTraining_NotFound","","","passed","","","UnitTests","UnitTests.TrainingServiceTests",""
"","80","testUpdateUser_NotFound","","","passed","","","UnitTests","UnitTests.UserRepositoryTests",""
"","77","testUpdateTrainingRoom_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomRepositoryUpdateITCase",""
"","107","testLogin_UserNotFound","","","passed","","","UnitTests","UnitTests.AuthServiceTests",""
"","82","testCreateTrainer_DublicateId","","","passed","","","IntegrationTests","IntegrationTests.TrainerRepositoryCreateITCase",""
"","131","testUpdateAttendance_Success","","","passed","","","UnitTests","UnitTests.AttendanceRepositoryTests",""
"","1615","test","","","passed","","","E2ETests","E2ETests.DemoE2ETests",""
"","119","testUpdateTrainingRoom_Success","","","passed","","","UnitTests","UnitTests.TrainingRoomRepositoryTests",""
"","92","testUpdateMembership_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipServiceITCase",""
"","107","testDeleteMembership_Success","","","passed","","","UnitTests","UnitTests.MembershipRepositoryTests",""
"","29","testCreateUser_Success","","","passed","","","UnitTests","UnitTests.UserServiceTests",""
"","76","testDeleteMembership_NotFound","","","passed","","","IntegrationTests","IntegrationTests.MembershipRepositoryDeleteITCase",""
"","80","testDeleteUser_Success","","","passed","","","IntegrationTests","IntegrationTests.UserRepositoryDeleteITCase",""
"","91","testCreateTraining_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingServiceITCase",""
"","83","testUpdateTrainer_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainerServiceITCase",""
"","28","testUpdateUser_EmailAlreadyExists","","","passed","","","UnitTests","UnitTests.UserServiceTests",""
"","77","testUpdateUser_Success","","","passed","","","IntegrationTests","IntegrationTests.UserRepositoryUpdateITCase",""
"","94","testDeleteTraining_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingServiceITCase",""
"","88","testDeleteMembership_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipServiceITCase",""
"","131","testUpdateAttendance_NotFound","","","passed","","","UnitTests","UnitTests.AttendanceRepositoryTests",""
